Frequency	Mag [B/A]	Phase [B-A]
+7.11121635931468E+006	+1.20926512155749E+001	+1.52259475077464E+002
+7.53270547003642E+006	+1.35444973837369E+001	+1.36930121546871E+002
+7.97917667404298E+006	+1.36088747337572E+001	+1.22730145321257E+002
+8.45211068570874E+006	+1.30823097298903E+001	+1.13093288893993E+002
+8.95307598287265E+006	+1.25916086231666E+001	+1.06394854575958E+002
+9.48373400866907E+006	+1.21894007860274E+001	+1.00434141259251E+002
+1.00458446816764E+007	+1.18215402372851E+001	+9.40426730930848E+001
+1.06412722326582E+007	+1.12463799404641E+001	+8.81672475112179E+001
+1.12719913872535E+007	+1.08878577951019E+001	+8.40831523710025E+001
+1.19400939151218E+007	+1.11871057992586E+001	+7.79878947154035E+001
+1.26477955672627E+007	+1.15651140869102E+001	+6.23773348396901E+001
+1.33974434245175E+007	+1.03334270671719E+001	+4.32636873252899E+001
+1.41915236816240E+007	+8.55375624895496E+000	+1.47930334405435E+001
+1.50326698926402E+007	+8.51717294946464E-001	-4.48167579186590E+000
+1.59236717050830E+007	-5.62141461412721E+000	+2.52471989138273E+001
+1.68674841117480E+007	-6.70764164968864E+000	+5.00734722735521E+001
+1.78672372508943E+007	-7.49590619191552E+000	+6.95777967666729E+001
+1.89262467872965E+007	-7.41398153691252E+000	+7.60186694027129E+001
+2.00480249085920E+007	-1.29415465575368E+001	+9.01653870069039E+001
+2.12362919733933E+007	-8.77462627047247E+000	+1.61013742110835E+002
+2.24949888497959E+007	-1.18755940918145E+000	+1.45994271411724E+002
+2.38282899852024E+007	-1.47645045630854E+000	+1.31233013153130E+002
+2.52406172508082E+007	+7.84168283959481E-001	+1.32361331901513E+002
+2.67366546066644E+007	+1.95050641169780E+000	+1.21173126998553E+002
+2.83213636359539E+007	+2.27451769387244E+000	+1.07589660810833E+002
+3.00000000000000E+007	+9.89793839151725E-001	+1.01265315485251E+002
